SKU,Name,Type,Published,Short description,Regular price,Categories,Tags,Stock,Images,Tax status,Tax class,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s)
BP-HD-001,Front Brake Pads - Honda CBR600RR,simple,1,"High-performance ceramic brake pads for Honda CBR600RR. Excellent stopping power and durability.",45.99,"Brakes > Brake Pads","honda, cbr600, brakes, performance",25,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,taxable,,Brand,Honda,Model,CBR600RR,Year,"2013-2020"
BP-YM-002,Rear Brake Pads - Yamaha R6,simple,1,"OEM quality rear brake pads designed for Yamaha R6. Long-lasting performance.",39.99,"Brakes > Brake Pads","yamaha, r6, brakes",30,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=801,taxable,,Brand,Yamaha,Model,R6,Year,"2017-2023"
CH-KW-003,Drive Chain 520 - Kawasaki Ninja 650,simple,1,"Premium 520 pitch drive chain with 120 links. Gold finish for added style.",89.99,"Drive Train > Chains","kawasaki, ninja650, chain, gold",15,https://images.unsplash.com/photo-1558980664-10e7170b5df9?w=800,taxable,,Brand,Kawasaki,Model,Ninja 650,Length,120 Links
SP-SZ-004,Front Sprocket 15T - Suzuki GSX-R750,simple,1,"Hardened steel front sprocket, 15 teeth. Direct replacement for Suzuki GSX-R750.",34.99,"Drive Train > Sprockets","suzuki, gsxr750, sprocket",20,https://images.unsplash.com/photo-1558617830-f8b84ab91d6b?w=800,taxable,,Brand,Suzuki,Model,GSX-R750,Teeth,15T
SP-HD-005,Rear Sprocket 45T - Honda CBR1000RR,simple,1,"Lightweight aluminum rear sprocket with 45 teeth. Red anodized finish.",79.99,"Drive Train > Sprockets","honda, cbr1000, sprocket, aluminum",12,https://images.unsplash.com/photo-1558617830-f8b84ab91d6b?w=801,taxable,,Brand,Honda,Model,CBR1000RR,Teeth,45T
OF-YM-006,Engine Oil Filter - Yamaha MT-09,simple,1,"High-flow oil filter for Yamaha MT-09. Superior filtration and engine protection.",12.99,"Engine > Oil Filters","yamaha, mt09, filter, oil",50,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?w=800,taxable,,Brand,Yamaha,Model,MT-09,Type,Spin-on
AF-KW-007,Air Filter - Kawasaki Z900,simple,1,"Washable and reusable high-flow air filter. Increases horsepower and throttle response.",69.99,"Engine > Air Filters","kawasaki, z900, airfilter, performance",18,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?w=801,taxable,,Brand,Kawasaki,Model,Z900,Type,Reusable
SP-HD-008,Spark Plugs (Set of 4) - Honda CBR650R,simple,1,"Iridium spark plugs for improved fuel efficiency and performance. Set of 4.",32.99,"Engine > Spark Plugs","honda, cbr650, sparkplug, iridium",35,https://images.unsplash.com/photo-1625047509168-a7026f36de04?w=800,taxable,,Brand,Honda,Model,CBR650R,Quantity,4 Pack
CL-YM-009,Clutch Cable - Yamaha YZF-R3,simple,1,"Heavy-duty clutch cable with smooth operation. Direct OEM replacement.",24.99,"Controls > Cables","yamaha, r3, clutch, cable",22,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=802,taxable,,Brand,Yamaha,Model,YZF-R3,Type,OEM Style
TH-SZ-010,Throttle Cable - Suzuki SV650,simple,1,"Premium throttle cable with PTFE coating for smooth operation.",29.99,"Controls > Cables","suzuki, sv650, throttle, cable",28,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=803,taxable,,Brand,Suzuki,Model,SV650,Type,PTFE Coated
LE-KW-011,LED Headlight Bulb H4 - Universal,simple,1,"6000K LED headlight bulb. 3x brighter than halogen. Universal fitment.",49.99,"Lighting > Headlights","led, headlight, universal, 6000k",40,https://images.unsplash.com/photo-1621939514649-280e2ee25f60?w=800,taxable,,Type,LED,Color Temperature,6000K,Fitting,H4
TS-HD-012,Turn Signal LED (Pair) - Honda CB650R,simple,1,"Sleek LED turn signals with smoked lens. Sold as pair (left and right).",59.99,"Lighting > Turn Signals","honda, cb650r, led, turnsignal",16,https://images.unsplash.com/photo-1621939514649-280e2ee25f60?w=801,taxable,,Brand,Honda,Model,CB650R,Quantity,Pair
TI-YM-013,Front Tire 120/70-17 - Yamaha R1,simple,1,"Sport radial tire with excellent grip and cornering stability. DOT approved.",159.99,"Tires & Wheels > Tires","yamaha, r1, tire, sport",10,https://images.unsplash.com/photo-1558980664-769d59546b3d?w=800,taxable,,Size,120/70-17,Type,Sport Radial,Speed Rating,W
TI-KW-014,Rear Tire 180/55-17 - Kawasaki ZX-6R,simple,1,"High-performance rear tire with superior traction. Track and street use.",189.99,"Tires & Wheels > Tires","kawasaki, zx6r, tire, performance",8,https://images.unsplash.com/photo-1558980664-769d59546b3d?w=801,taxable,,Size,180/55-17,Type,Sport Radial,Speed Rating,W
FS-SZ-015,Fork Seal Kit - Suzuki GSX-S1000,simple,1,"Complete fork seal and dust wiper kit. Includes both forks.",44.99,"Suspension > Fork Seals","suzuki, gsxs1000, forkseal, suspension",14,https://images.unsplash.com/photo-1558617830-f8b84ab91d6b?w=802,taxable,,Brand,Suzuki,Model,GSX-S1000,Quantity,Complete Kit
FO-HD-016,Fork Oil SAE 10W - 1 Liter,simple,1,"Premium fork oil for smooth suspension action. 1 liter bottle.",19.99,"Suspension > Fork Oil","forkoil, suspension, 10w",45,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?w=802,taxable,,Weight,SAE 10W,Volume,1 Liter,Type,Synthetic
LV-YM-017,Brake Lever - Yamaha MT-07,simple,1,"CNC machined adjustable brake lever. 6-position adjustment. Black finish.",54.99,"Controls > Levers","yamaha, mt07, lever, brake, cnc",19,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=804,taxable,,Brand,Yamaha,Model,MT-07,Adjustable,6 Position
LV-KW-018,Clutch Lever - Kawasaki Ninja 400,simple,1,"Folding clutch lever to prevent damage in drops. Green accent color.",49.99,"Controls > Levers","kawasaki, ninja400, clutch, lever",21,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=805,taxable,,Brand,Kawasaki,Model,Ninja 400,Type,Folding
MR-HD-019,Bar End Mirrors (Pair) - Universal,simple,1,"Sleek bar end mirrors with convex glass for wider view. Universal fit.",64.99,"Mirrors > Bar End","mirror, universal, barendmirror",26,https://images.unsplash.com/photo-1558617830-f8b84ab91d6b?w=803,taxable,,Type,Bar End,Glass,Convex,Quantity,Pair
EX-SZ-020,Slip-On Exhaust - Suzuki GSX-R600,simple,1,"Stainless steel slip-on exhaust with carbon fiber tip. Deeper sound and weight reduction.",449.99,"Exhaust > Slip-On","suzuki, gsxr600, exhaust, carbon, performance",6,https://images.unsplash.com/photo-1558980664-10e7170b5df9?w=801,taxable,,Brand,Suzuki,Model,GSX-R600,Material,Stainless Steel